"WORD","PART_OF_SPEECH","PRONUNCIATION","DEFINITION","LITERAL_TRANSLATION","RELATED_PHRASE","RELATED_PHRASE_DEFINITION","RELATED_PHRASE_LITERAL_TRANSLATION","RELATED_PHRASE_AUDIO_TITLE","RELATED_PHRASE_AUDIO_FILENAME","RELATED_PHRASE_AUDIO_SOURCE","CATEGORIES","CULTURAL_NOTE","REFERENCE","INCLUDE_IN_GAMES","CHILD_FRIENDLY","AUDIO_TITLE","AUDIO_DESCRIPTION","AUDIO_FILENAME","AUDIO_SHARED_WITH_OTHER_DIALECTS","AUDIO_CHILD_FOCUSED","AUDIO_SOURCE","AUDIO_RECORDER","IMG_TITLE","IMG_FILENAME","IMG_DESCRIPTION","IMG_SOURCE","USERNAME","CONTRIBUTOR"
"si yeen g̱ag̱oot","transitive verb","","confuse someone","","awil hoysga mati na g̱atgyetga at si yeen g̱ag̱ootsga nagyeda Temla̱xam g̱an waaldit ","because the mountain goats used their powers to fog the minds of the people of Prairie Town","","","","Beynon m 39.1","","","","1","","","","","","","","","","","","","","",
"xłiiw","intransitive verb","x/*łiiw","ejaculate (euphemism)","","","","","","","","","","Dunn, Practical Dictionary entry: 2151.","1","","","","","","","","","","","","","","",
"sag̱awsaa","intransitive verb","sa/g̱aw/*saa","lucky ","","Aam dza sag̱awsaan a wil xsen.","I hope you're lucky at gambling.","","Spoken example sentence with word: sag̱awsaa","saGawsaa2-em-2018.mp3","Ellen Mason, Txałgiiw, 2018","","","Dunn, Practical Dictionary entry: 1629.","1","","","","saGawsaa2-em-2018.mp3","","","","","","","","","","",
"sg̱anhaw","intransitive verb","","not a good idea","","Ła gyik sg̱anhawn.","Your idea is not good again.","","Spoken example sentence with word: sg̱anhaw","s-sganhaw-not a good idea-vn-hb-2015_1.mp3","Velna Nelson, Txałgiiw","","","","1","","","","s-sganhaw-not a good idea-vn-hb-2015_1.mp3","","","","","","","","","","",
"hanig̱oox","common noun","ha/ni/*g̱oox","oolichan, specifically the second run, grease from which is fairly dark","","Hanig̱oox di siluunaga gyet.","The second run of oolichans are what people dry.","","Spoken example sentence with word: hanig̱oox","hanigoox.mp3","","","","","1","","","","hanigoox.mp3","","","","","","","","","","",
"haat","kinship term noun","haat","brother, a term used by a female speaker; identified by some speakers as a term of address","","Ła dm g̱oydiks haadm Bossy.","My brother Bossy is coming.","","Spoken example sentence with word: haat","636870592313866615A LexExampleSentence.mp3","Beatrice Robinson, Gitxaała","","","Dunn, Practical Dictionary entry: 650.  Dunn, Practical Dictionary entry: 668.","1","","Person saying: haat","","636870592313866615A LexExampleSentence.mp3","","","","","","","","","","",
"g̱alm g̱eelsk","common noun","","kneading pan","","holtgida g̱alm g̱eelsk,","the kneading pan was full,","","","","HB 07 Co 152.1","","","","1","","","","","","","","","","","","","","",
"Wutsdaa","common noun","wuts/*daa","Bella Bella people","","Heelda g̱ayniis da awaa Wutsdaa.","There's a lot of chum salmon by Bella Bella.","","","","","","","","1","","","","","","","","","","","","","","",
"dooł","common noun","dooł","tripe (lining of the stomach of an animal)","","Dm dzemu ndooła wa̱n dzidm da̱'a̱xgit.","I'll boil the deer tripe if you're able (to get it).","","Spoken example sentence with word: dooł","dool-mb-k-01.mp3","","","","Dunn, Practical Dictionary entry: 223.","1","","","","dool-mb-k-01.mp3","","","","","","","","","","",
"yaams ___","intransitive verb","","walk like a ___ - can be used to form expressions like ’walk like a cowboy’ or ’walk like a porcupine’ and so on.","","Dawila yaams sts'oolu.","And then I walk like a beaver.","","","","","","","","1","","","","","","","","","","","","","","",
"Ha'lila̱xsima̱ḵ'ooxs","common noun","ha/'li/la̱x/si/ma̱/*ḵ'ooxs","June","","Gooyu 'wii hoont a la̱x Ha'lila̱xsima̱ḵ'ooxs?","What becomes plentiful in June?","","","","Sm'algya 752.1","","","Dunn, Practical Dictionary entry: 735.","1","","","","","","","","","Image depicting: Ha'lila̱xsima̱ḵ'ooxs","06juneMed.jpg","","Image courtesy of School District 52, Aboriginal Education, Wa̱p Sig̱atgyet","","",
"hawaal","common noun","ha/*waal","arrow; spearhead","","Dzabas Dzon hawaal.","John made an arrow.","","","","","","","Dunn, Practical Dictionary entry: 783.","1","","","","","","","","","","","","","","",
"nu'untk","transitive verb","","dress something up","","adat nu'untga na ts'apt a txa'nii na gwisnuutgas Makwala","and his tribesmen dressed it with all the dress clothes of Makwala","","","","Beynon m 20.1","","","","1","","","","","","","","","","","","","","",
"'wa̱hloomsgyigyet","common noun","'wa̱h/*looms/gyi/*gyetk","bullies (pl.)","","'Wa̱hloomsgyigyetga k'abatgüüłga doni.","Those children over there are bullies.","","Spoken example sentence with word: 'wa̱hloomsgyigyet","'wahloomsgyigyetk-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 2060.","1","","","","'wahloomsgyigyetk-dl-hb-03.mp3","","","","","","","","","","",
"si p'as","transitive verb","","raise something","","Adaawg̱a Wila Waalsga K'oolda Łgu Łguwaalksik t'in Si p'asa K'yiwa̱łg̱n","The Adaawx of What Happened to a Princess who Raised a Shipworm","","","","Beynon m 1.1","","","","1","","","","","","","","","","","","","","",
"gyiigm'üüx","common noun","gyii/gm/*'üüx","horseflies; coho fly","","Heelda gyiigmüüx da suunda gya'wn.","There are a lot of horseflies this summer.","","Spoken example sentence with word: gyiigm'üüx","gyiigm_uux-sl-mk-01.mp3","","","","Dunn, Practical Dictionary entry: 591.","1","","","","gyiigm_uux-sl-mk-01.mp3","","","","","Image depicting: gyiigm'üüx","FLY 11.jpg","","Image from Print Artist software, version 23, Bonus Graphics CD1. ","","",
"mooyt","","","affect someone","","ada ła 'nii t'in mooydit gya'wn.","","and he has now affected him.","","","Beynon m 97.1","","","","1","","","","","","","","","","","","","","",
"'nwilho'ya","common noun","'n/wil/*hoy/a","tools; supplies; belongings","","Dooł dm 'nwilho'yani?","Do you have tools to use?","","Spoken example sentence with word: 'nwilho'ya","'nwilhoya-em-hb-02.mp3","","","","","1","","","","'nwilhoya-em-hb-02.mp3","","","","","Image depicting: 'nwilho'ya","WOODCARVING.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"spa̱=","prenominal","spa̱","place of; home of; den of","","'Liyaakas Liitsit spa̱ 'watsa.","Richard came upon an otter den.","","","","","","","","1","","","","","","","","","Image depicting: spa̱=","FOXES.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"-g̱a̱ł","","","something heard, it is said","","Wayi ła lu ha̱xhaaxgitg̱a̱ł g̱a̱g̱ootł gyet,","So the people were fed up, it is said,","","","","HB 02 Vi 13.1","","","","1","","","","","","","","","","","","","","",
"g̱a̱naax","common noun","","deer track, deer foot","","","","","","","","","","Dunn, Practical Dictionary entry: 381.","1","","","","","","","","","Image depicting: g̱a̱naax","Winterscape 300.jpg","","Image from Print Artist Platinum software, version 23, Supplementary Graphics CD.","","",
"g̱a̱naax","common noun","","deer foot","","","","","","","","","","Dunn, Practical Dictionary entry: 381.","1","","","","","","","","","","","","","","",
"ḵ'ala=","prenominal","ḵ'ala","upriver; upstream; upper reaches of a river","","'A̱p ts'üü wil t'ała da̱hdee da ḵ'alagyilhawli.","There are lots of cranberries upriver in the hills.","","Spoken example sentence with word: ḵ'ala=","k'ala-dl-hb-01.mp3","","","","","1","","","","k'ala-dl-hb-01.mp3","","","","","Image depicting: ḵ'ala=","09-04.jpg","","Image courtesy of School District 52, Aboriginal Education, Wa̱p Sig̱atgyet","","",
"ḵ'ala=","preverbal","ḵ'ala","up a river or inlet","","Dawila ḵ'ala daawł diya gwa'a, Lax G̱alts'abi'i.","Then they went up to this place, to Old Town.","","","","HB 02 Vi 34.1","","","","1","","","","","","","","","","","","","","",
"ḵ'ala=","preverbal","ḵ'ala","river (when used with a place name, means the river of X, for example Ḵ'ala Ksyen = Skeena River","","","","","","","","","","","1","","","","","","","","","","","","","","",
"ba̱xyu 'waant","intransitive verb","","die with his teeth (means you died young)","","Dm ba̱xyu 'waant.","He will die with his teeth. (a proverb)","","","","Beynon m 4.2","","","","1","","","","","","","","","","","","","","",
"ḵ'aatk","transitive verb","ḵ'aatk","pity","","Gwinyaa hana̱'a̱ dat ḵ'aatga łgu łguwoomłga 'wiihawtgit.","The woman came by to pity a crying child.","","Spoken example sentence with word: ḵ'aatk","k'aatk-dl-hb-01.mp3","","","","","1","","","","k'aatk-dl-hb-01.mp3","","","","","","","","","","",
"ts'oołik","intransitive verb","*ts'oo/łik","burning embers","","Dm k'a ts'oołign a gitwaap.","I am going to get burning embers from next door.","","","","","","","Dunn, Practical Dictionary entry: 1970.","1","","","","","","","","","","","","","","",
"ts'oołik","common noun","*ts'oo/łik","kindling","","","","","","","","","","Dunn, Practical Dictionary entry: 1970.","1","","","","","","","","","Image depicting: ts'oołik","BASKET OF KINDLING.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"ḵ'abilah","common noun","","gun","","Ada wila waalsga k'oolda Gitlaan yedzida ts'als Niisna'wa a na ḵ'abilaht ","And one of the Gitlaan hit Niisna'wa in the face with his gun","","","","Beynon m 45.1","","","","1","","","","","","","","","Image depicting: ḵ'abilah","Household 059.jpg","","Image from Print Artist Platinum, Version 23, Supplementary Images CD.","","",
"lullooks","intransitive verb","","soak","","Lullooksa moonm hoon a ts'm aks.","The salted fish soaked in water.","","","","","","","","1","","","","","","","","","","","","","","",
"mela","preverbal","","compete","","","","","","","","","","","1","","","","","","","","","","","","","","",
"g̱a̱ng̱awn","transitive verb","g̱a̱n/*g̱awn","chew up (pl.)","","Ama g̱a̱ng̱awn xwooksn.","Chew up your wooks well.","","Spoken example sentence with word: g̱a̱ng̱awn","gangawn-mb-k-01.mp3","","","","Dunn, Practical Dictionary entry: 434.  Dunn, Practical Dictionary entry: 321.  Dunn, Practical Dictionary entry: 888.","1","","","","gangawn-mb-k-01.mp3","","","","","","","","","","",
"ḵ'a̱daawł","intransitive verb","g̱a̱/*daawł","depart; leave (pl.); gone away (pl.)","","Ḵ'a̱daawłda, yagwa luudisgit.","They're gone, they went to gather food.","","","","","","","","1","","","","","","","","","","","","","","",
"wil manyaa gyemk","common noun","wil/man/yaa/gyemk","east","","","","","","","","","","","1","","","","","","","","","","","","","","",
"lox","intransitive verb","lox","rotten","","Ła log̱a hoon awaan.","The fish there is rotten.","","Spoken example sentence with word: lox","lox-em-hb-02.mp3","","","","Dunn, Practical Dictionary entry: 1183.","1","","","","lox-em-hb-02.mp3","","","","","","","","","","",
"gwasda'a","demonstrative","","there (referring to someone or something that is not visible at the place of speech, including a deceased person, that, those","","Da na luk'wil lugwatga łguwaaba gwasda.","And the little house was very cold.","","","","Fumiko S 3.1","","","","1","","","","","","","","","","","","","","",
"gwiloon","number","gwi/*loon","three (people)","","Gwiloon sumamxsit dm int sguult Sm'algya̱x.","Three young people are the ones who will teach Sm'algyax.","","Spoken example sentence with word: gwiloon","gwiloon-sr-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 546.","1","","","","gwiloon-sr-hb-01.mp3","","","","","Image depicting: gwiloon","A - GROUP.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"xa̱lgyet","transitive verb","xa̱lgyet","adopt; usage: From one clan into another","","xa̱lgyet","","","Spoken example sentence with word: xa̱lgyet","xa̱lgyet-adopt-vn-hb-2014.mp3","","","","","1","","","","xa̱lgyet-adopt-vn-hb-2014.mp3","","","","","","","","","","",
"gyesk","intransitive verb","gyesk","jealous; envious","","Gyesga g̱oots Allen da na su ts'ikts'igu.","Allen is jealous of my new car.","","Spoken example sentence with word: gyesk","gyesk-db-kk-03.mp3","","","","","1","","","","gyesk-db-kk-03.mp3","","","","","","","","","","",
"amahiiduu","intransitive verb","*am/a/hii/*duu","have a good reputation; be famous for; good report","","Amahiiduu hana̱'a̱ gwii a na hukluup'ist.","That woman is famous for her sewing.","","Spoken example sentence with word: amahiiduu","amahiiduu-mb-k-01.mp3","","","","","1","","","","amahiiduu-mb-k-01.mp3","","","","","","","","","","",
"hałoo","common noun","ha/*łoo","material; fabric; cloth; canvas; tarp","","Heelda wil liksgigyeda hakhałoo: xts'iim hałoo, gyemgm hałoo, sm hałoo.","There are lots of different materials: thick cloth, warm cloth, and regular cloth.","","Spoken example sentence with word: hałoo","haloo-mw-hb-01.mp3","","","","Dunn, Practical Dictionary, entry: 64.  Dunn, Practical Dictionary entry: 687.Dunn, Practical Dictionary entry: 747.","1","","","","haloo-mw-hb-01.mp3","","","","","","","","","","",
"hałoo","common noun","ha/*łoo","sail","","","","","","","","","","Dunn, Practical Dictionary, entry: 64.  Dunn, Practical Dictionary entry: 687.Dunn, Practical Dictionary entry: 747.","1","","","","","","","","","Image depicting: hałoo","Boats & Ships 011.jpg","","Image from Print Artist Platinum, Version 23, Supplementary Images CD.","","",
"'na gugup'ltk","common noun","","two by two","","ada wil sa k'wił bisbasa̱xgit a 'na gugup'ltgit.","they they suddenly separated in twos.","","","","Beynon m 64.1","","","","1","","","","","","","","","","","","","","",
"lip=","prenominal","lip","his/her/their own","","lip łgwitxa'oosga sup'asm 'yuuta.","the young man's own cross-cousin.","","","","Beynon m 24.1","","","","1","","","","","","","","","","","","","","",
"lip=","preverbal","lip","reflexive; one's own; -self; this proclitic makes the verb refer to the subject","","Di lip sgüü di gwishalaayts Ernie.","Ernie has his own dancing blanket.","","Spoken example sentence with word: lip=","lp-em-hb-02.mp3","","","","","1","","","","lp-em-hb-02.mp3","","","","","","","","","","",
"'ya̱x","intransitive verb","ya̱x","hang","","Adat gaasga bana gu nah lu ma̱n 'yag̱it;","And he took his dipnet which hung up in (the house),","","","","Boas, Fr 839.1","","","Dunn, Practical Dictionary entry: 2204.  Dunn, Practical Dictionary entry: 2225.","1","","Person saying: 'ya̱x","","","","","","","","","","","","",
"'ya̱x","transitive verb","ya̱x","hang","","Ła g̱awdit 'yets't dawilat 'yaayxt wilt siluungit.","When they've finished pounding then they hang them out where they will dry.","","Spoken example sentence with word: 'ya̱x","'Y-'Yaayx-hang-br-K-2014.mp3","","","","Dunn, Practical Dictionary entry: 2204.  Dunn, Practical Dictionary entry: 2225.","1","","Person saying: 'ya̱x","","'Y-'Yaayx-hang-br-K-2014.mp3","","","","","Image depicting: 'ya̱x","08-extra.jpg","","Image courtesy of School District 52, Aboriginal Education, Wa̱p Sig̱atgyet","","",
"'ya̱x","intransitive verb","ya̱x","calendar reference - refers to a day or month on a calendar (hence the use of 'hang').","","ada ła 'yaxsga dm k'wiliida sahga"," and now the third day","now when it was wednesday","","","Beynon m 39.1","","","Dunn, Practical Dictionary entry: 2204.  Dunn, Practical Dictionary entry: 2225.","1","","Person saying: 'ya̱x","","","","","","","","","","","","",
"łiḵ'anik","common noun","łi/*ḵ'a/nik","mirage","","Łiḵ'aniga La̱x Kxal.","There is a mirage on Bonila Island.","","","","","","","","1","","","","","","","","","","","","","","",
"g̱a̱daay","","","block of wood with the bark still on, useful as overnight firewood (often hemlock)","","","","","","","","","","","1","","","","","","","","","","","","","","",
"ts'imaatk","intransitive verb","","taste good; tasty; sweet; delicious","","Ada ap luk'wil ts'imaatgit.","And it was very delicious.","","","","Fumiko S 11.1","","","","1","","","","","","","","","Image depicting: ts'imaatk","Kids 800.jpg","","Image from Print Artist Platinum solftware, version 23, Supplementary Graphics CD.","","",
"ts'imaatk","intransitive verb","","feel good; enjoyable","","Gyik g̱ani ts'imaatga a'algyaxt.","He didn’t want to stop talking.","","","","Fumiko S 11.1","","","","1","","","","","","","","","","","","","","",
"ludza̱x","intransitive verb","","within","","ła ludza̱g̱a sg̱eetga 'wii ts'm waalpga.","it was getting dark in the big house.","","","","Beynon m 208.1","","","","1","","","","","","","","","","","","","","",
"t'ilg̱oolsk","common noun","t'il/*g̱oolsk","thoughts","","Lutgu g̱alg̱ol nt'ilg̱oolsgu.","My thinking is all mixed up.","","","","","","","","1","","","","","","","","","Image depicting: t'ilg̱oolsk","BOY - THINKING 2.jpg","","Image from Print Artist software, version 23, Bonus Graphics CD.","","",
"t'ilg̱oolsk","intransitive verb","t'il/*g̱oolsk","think","","","","","","","","","","","1","","","","","","","","","Image depicting: t'ilg̱oolsk","STUDENT THINKING.jpg","","Image from Print Artist Platinum edition, version 23, Bonus Graphics CD.","","",
"miyaan g̱a̱n","common noun","mi/yaan/*g̱a̱n","base of tree","","Na miyaan g̱a̱n wil k'a t'aam sgwaytgu.","I sat at the base of a tree and rested.","","","","","","","","1","","Person saying: miyaan g̱a̱n","","","","","","","","","","","","",
"gwida'ats'","common noun","gwi/*da'ats","coat; jacket","","Alaaysa łgu łguwoomłk dmt hoy na gwida'ats'm sgyent.","The little child is lazy to put on her raincoat.","","Spoken example sentence with word: gwida'ats'","guda'ats-vn-hb-06.mp3","","","","Dunn, Practical Dictionary entry: 524.","1","","","","guda'ats-vn-hb-06.mp3","","","","","Image depicting: gwida'ats'","JACKET 03.jpg","","Image from Print Artist software, version 23, Bonus Graphics CD.","","",
"luwanks","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",
"ts'iks algyax","intransitive verb","","talk smart","","ada k'wił ts'iks algyaxsa k'oolt","and one of them was talking smart","","","","M 01 Alf 276.1","","","","1","","","","","","","","","","","","","","",
"hats'iskah","intransitive verb","ha/ts'is/*kah","sneeze","","Saga̱ksga'nu, ła hats'isgahs Don.","I got frightened when Don sneezed.","","","","","","","","1","","","","","","","","","Image depicting: hats'iskah","SNEEZING.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"p'ldzapl","common noun","p'l/*dzapl","toy","","Kwła̱xsa łguwoomłga na p'ldzaplt.","The child kicked his toy.","","Spoken example sentence with word: p'ldzapl","636894755578124502A LexExampleSentence.mp3","Beatrice Robinson, La̱x Klan","","","","1","","Person saying: p'ldzapl","","636894755578124502A LexExampleSentence.mp3","","","","","Image depicting: p'ldzapl","GIRL - PLAYING WITH TOYS.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"p'ldzapl","transitive verb","p'l/*dzapl","play with (of a toy)","","Yagwa p'ldzaplda łgu łguwoomłga sasoo.","The little child is playing with a rattle.","","Spoken example sentence with word: p'ldzapl","636894755855763148A LexExampleSentence.mp3","Beatrice Robinson, La̱x Klan","","","","1","","Person saying: p'ldzapl","","636894755855763148A LexExampleSentence.mp3","","","","","Image depicting: p'ldzapl","BABY WITH BLOCKS 2.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"ksi gwatgm aks","common noun","","cold water","",""Gaadi dzu'us txa yaawkdi opdza k'waatgi, a ksi gwatgm aksit."",""Take me along with you, sister-in-law, in case I get lost, in the cold water","","","","Beynon m 148.1","","","","1","","","","","","","","","","","","","","",
"sa 'a̱p mat","intransitive verb","","go and do something uninvited or go to someone's place uninvited to eat","","Dm k'a sa'ap mada'nu a awas dzi'is.","I will go to granny's (uninvited).","","Spoken example sentence with word: sa 'a̱p mat","sa-ap-em-2018.mp3","","","","","1","","","","sa-ap-em-2018.mp3","","","","","Image depicting: sa 'a̱p mat","WATCHING MAN EAT.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"duulxk","intransitive verb","duulxk","stuck, unable to go further","","Gyiwil duulxga'nu łan 'waa awaa biyaaxł.","I couldn't get by when I got to the cliff.","","Spoken example sentence with word: duulxk","d-duulxk-mb-k-01_1.mp3","Marjorie Brown, Gitxaała","","","","1","","","","d-duulxk-mb-k-01_1.mp3","","","","","Image depicting: duulxk","TRAIN CROSSING.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"hasa̱x","transitive verb","ha/*sa̱x","want; desire; lack; need; long for. Hasa̱x can be followed by an object (hasa̱g̱u łimoom'a - I want help) or by a 'sentential complement,' often beginning with the time expression (Hasa̱g̱u dm - I want to... - a separate sentence expressing what one wants to do). See examples below.","","Hasa̱xs Don dm sixs'waanaxt.","Don wants to go get herring eggs.","","Spoken example sentence with word: hasa̱x","hasax-db-kk-03.mp3","","","","Dunn, Practical Dictionary entry: 762.","1","","","","hasax-db-kk-03.mp3","","","","","Image depicting: hasa̱x","BOY PULLING PARENT.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"mis'aws","common noun","ma̱s/*'aws","red ochre; red pigment from mineral sources - originally used in mourning (e.g. the 'feast of red'), and by warriors","","","","","","","","","","Dunn, Practical Dictionary entry: 1400.","1","","Person saying: mis'aws","","","","","","","","","","","","",
"mis'aws","common noun","ma̱s/*'aws","rouge","","Dm gyiigu ma̱s'aws dm hoyu da ts'alu.","I'm going to buy rouge to wear on my face.","","","","","","","Dunn, Practical Dictionary entry: 1400.","1","","Person saying: mis'aws","","","","","","","Image depicting: mis'aws","FEMALE 12.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"liya'an","intransitive verb","","","","","","","","","","","","","1","","","","","","","","","","","","","","",
"la̱x süülda̱","common noun","la̱x/*süül/da̱","on the ocean","","'Wiita binben g̱oopda la̱x süülda̱.","There are big swells on the ocean.","","Spoken example sentence with word: la̱x süülda̱","laxsuulda-ab-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1125.","1","","Person saying: la̱x süülda̱","","laxsuulda-ab-hb-01.mp3","","","","","Image depicting: la̱x süülda̱","OCEAN 1.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"loop","common noun","loop","stone; rock","","T'aa 'wii loop da n süülga ḵ'ala aks.","There is a big rock and it's in the middle of the river.","","Spoken example sentence with word: loop","loop-em-hb-02.mp3","","","","Dunn, Practical Dictionary entry: 1190.","1","","","","loop-em-hb-02.mp3","","","","","Image depicting: loop","Unit 8- object- Rock.jpg","","Image courtesy of Aboriginal Education, School District 52","","",
"la̱xna̱baa","common noun","la̱x/na̱/*baa","high meadow","","ada na su łguułgit da ḵ'an waalxsida sg̱a̱'niis t'iildit 'wit'waa naduuba 'wii sg̱a̱'niist 'nasdoodit, dat 'ya̱g̱a̱ liyaaka 'wii la̱xna̱baa ada baa ts'mhuuts'a̱x a la̱xna̱baa.","and their new child and they walked over the mountain and quickly came to the foot of the large mountain on the other side, and they followed down the large clearing and a stream ran down to the open clearing.","","","","Beynon m 172.1","","","Dunn, Practical Dictionary entry: 1115.","1","","Person saying: la̱xna̱baa","","","","","","","Image depicting: la̱xna̱baa","MEADOW 8.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"gwa̱tk","intransitive verb","gwa̱tk","cold","","Luk'wil gwa̱tga suunda gya'wn.","It is very cold this summer.","","Spoken example sentence with word: gwa̱tk","gwatk-ab-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 519.  Dunn, Practical Dictionary entry: 1105.   Dunn, Practical Dictionary entry: 1106.","1","","","","gwatk-ab-hb-01.mp3","","","","","Image depicting: gwa̱tk","MAN - BUNDLED UP.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"algya̱x","intransitive verb","al/*gya̱x","talk; speak","","Ła dm di algya̱xs Meeli.","Mary is going to speak.","","Spoken example sentence with word: algya̱x","algyax-vn-hb-06.mp3","","","","Dunn, Practical Dictionary entry: 56. Dunn, Practical Dictionary, entry: 56.","1","","","","algyax-vn-hb-06.mp3","","","","","Image depicting: algya̱x","FOREMAN 09.jpg","","Image from Print Artist Platinum edition, version 23, Bonus Graphics CD.","","",
"algya̱x","common noun","al/*gya̱x","notice","","...'waht ksimag̱a algyax da dmt apply gyik k'oolda gyet.","...they didn’t put out any notices to let people know, so no one else would apply.","","","","Fumiko S 32.1","","","Dunn, Practical Dictionary entry: 56. Dunn, Practical Dictionary, entry: 56.","1","","","","","","","","","","","","","","",
"algya̱x","common noun","al/*gya̱x","language","","ap 'nax'nuuyi k'aba yets'isga algyax.","little animals really understand language.","","","","M 01 Alf 36.1","","","Dunn, Practical Dictionary entry: 56. Dunn, Practical Dictionary, entry: 56.","1","","","","","","","","","","","","","","",
"haldm g̱a'wn","intransitive verb","","prepare","","Adat haldm g̱a'wnsga wil'nat'ał ","And the group arose ","","Spoken example sentence with word: haldm g̱a'wn","636870765206577990A LexExampleSentence.mp3","Beynon m 88.1","","","","1","","","","636870765206577990A LexExampleSentence.mp3","","","","","","","","","","",
"łii'wn","common noun","*łii/'wn","snow goose","","Heelda wil lipaayga łii'wn da la̱xa̱.","There's lots of snow geese flying in the air.","","Spoken example sentence with word: łii'wn","lii'wn-em-hb-02.mp3","","","","Dunn, Practical Dictionary entry: 1329. entry continued.","1","","","","lii'wn-em-hb-02.mp3","","","","","Image depicting: łii'wn","Bird 035.jpg","","Image from Print Artist Platinum, Version 23, Supplementary Images CD.","","",
"gwilpdaat","number","gwilp/daat","two (people aboard a conveyance)","","Lu gwilpdaada dip gwii da ts'm xsoo.","There are two people in a boat.","","Spoken example sentence with word: gwilpdaat","gwilpdaat-sr-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 496.","1","","","","gwilpdaat-sr-hb-01.mp3","","","","","Image depicting: gwilpdaat","family-pics0019.jpg","","Photograph courtesy of Tammy Blumhagen","","",
"lm=","preverbal","","short while","","","","","","","","","","","1","","","","","","","","","","","","","","",
"-dat","","dat","predicative connective used before proper noun agents in the everyday style; and used with proper nouns which are not marked for location or which are present in the high style","","Łat k'yilamdat Dzoodza baysik das Dzon.","George gave a bicycle to John.","","Spoken example sentence with word: -dat","dit-mb-k-01.mp3","","","","","1","","","","dit-mb-k-01.mp3","","","","","","","","","","",
"sg̱ool","intransitive verb","sk'ol","cross-eyed","","Sg̱ool łgu łgwoomłga awaan.","That child is cross-eyed.","","","","","","","","1","","","","","","","","","Image depicting: sg̱ool","CROSS-EYED WOMAN.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"g̱a̱n=","prenominal","g̱a̱n","wood/wooden","","Luk'wil p'algya̱xsgm g̱a̱n gyiik.","Hemlock wood is very heavy.","","Spoken example sentence with word: g̱a̱n=","gan-4-mb-kk-01.mp3","","","","Dunn, Practical Dictionary entry: 379.","1","","","","gan-4-mb-kk-01.mp3","","","","","Image depicting: g̱a̱n=","LOGS.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"pliyaaw","intransitive verb","","pass on news","","Ada al di gisi baa t'in di pliyaawsga Gitsegukla ","And the person ran along to warn the people of Gitsegukla ","","Spoken example sentence with word: pliyaaw","636886109683700540A LexExampleSentence.mp3","Beynon m 101.1","","","","1","","","","636886109683700540A LexExampleSentence.mp3","","","","","","","","","","",
"pliyaaw","transitive verb","","talk about","","adat pliyaaẅs dip 'niit.","and he told them ","","Spoken example sentence with word: pliyaaw","636886110471686172A LexExampleSentence.mp3","Beynon m 254.1  Beatrice Robinson, Gitxaała","","","","1","","","","636886110471686172A LexExampleSentence.mp3","","","","","Image depicting: pliyaaw","NEIGHBORS TALKING 1.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"txa̱l'waask","transitive verb","","meet someone","","adat txa̱l 'waasga na wekyakit.","then they met their brothers.","","","","Beynon m 111.1","","","","1","","","","","","","","","","","","","","",
"hanaks","common noun","ha/*naks","gift made to the parents of the bride at the time of the marriage proposal ","","Holtga xsoo da k'yila'ma, gwin da g̱oydiksis Alplit da dm łemst.","The canoe was filled with gifts that Alfred gave to his daughter-in-law-to-be.","","","","","","","","1","","","","","","","","","","","","","","",
"das","preposition","das","to; from; at; for; form of 'da' used before proper nouns in informal language; before proper nouns denoting present actors in the indicative and subjunctive in the high style.  To be more specific about location a locative prefix may be used","","Nah dzabas Ronnie pts'aan das Dick.","Ronnie has fixed a totem pole for Dick.","","Spoken example sentence with word: das","das-dr-hb-01.mp3","","","","","1","","","","das-dr-hb-01.mp3","","","","","","","","","","",
